Use_FINAL,Rationale,act_id,MLocID,StationDes,GNIS_Name,SampleStart_Date,tot.abund,Latitude,Longitude,AU_ID,EcoRegion3,EcoRegion2,Reachcode,Measure,ELEV_Ft,COMID,Nearby_COMID,ReferenceSite,Name,Description
Y,,33523-ORDEQ:20060717:R:SR,33523-ORDEQ,Abernathy Creek,Abernethy Creek,07/17/2006,575,45.3625554,-122.5926189,OR_SR_1709000704_02_104017,3,MARINE WEST COAST FOREST,17090007000137,45.07152,30,23791237,,MOST DISTURBED,33523-ORDEQ,Abernathy Creek
Y,,34850-ORDEQ:20080604:R:SR,34850-ORDEQ,Amazon Creek at RM 5.82,Amazon Creek,06/04/2008,509,44.15741666,-123.2407801,OR_WS_170900030108_02_104250,3,MARINE WEST COAST FOREST,17090003000291,64.906890000000004,336,23763259,,MOST DISTURBED,34850-ORDEQ,Amazon Creek at RM 5.82
Y,,33846-ORDEQ:20060829:R:SR,33846-ORDEQ,Anderson Creek downstream of Newport drinking water plant discharge,Anderson Creek,08/29/2006,607,44.65387053,-124.0454996,OR_WS_171002040903_02_106177,1,MARINE WEST COAST FOREST,17100204003382,9.5492530000000002,30,NULL,23881920,MOST DISTURBED,33846-ORDEQ,Anderson Creek downstream of Newport drinking water plant discharge
Y,,33478-ORDEQ:20060713:R:SR,33478-ORDEQ,Ash Creek,Ash Creek,07/13/2006,604,45.46114364,-122.7388815,OR_WS_170900100502_02_104513,3,MARINE WEST COAST FOREST,17090010000455,73.337729999999993,280,23805890,,MOST DISTURBED,33478-ORDEQ,Ash Creek
N,,13181-ORDEQ:20050601:R:SR,13181-ORDEQ,Baldwin Creek at end of Baldwin Creek Road,Baldwin Creek,06/01/2005,1089,45.56335219,-121.5849761,OR_WS_170701050506_02_102001,9,WESTERN CORDILLERA,17070105015776,57.548290000000001,1302,24506576,,MOST DISTURBED,13181-ORDEQ,Baldwin Creek at end of Baldwin Creek Road
Y,,13181-ORDEQ:20050617:R:SR,13181-ORDEQ,Baldwin Creek at end of Baldwin Creek Road,Baldwin Creek,06/17/2005,1359,45.56335219,-121.5849761,OR_WS_170701050506_02_102001,9,WESTERN CORDILLERA,17070105015776,57.548290000000001,1302,24506576,,MOST DISTURBED,13181-ORDEQ,Baldwin Creek at end of Baldwin Creek Road
Y,,23862-ORDEQ:20000801:R:SR,23862-ORDEQ,"Bear Creek at River Mile 2.1 (Rock, Pudding, Willamette)",Bear Creek,08/01/2000,643,45.16762442,-122.6798199,OR_WS_170900090303_02_104470,3,MARINE WEST COAST FOREST,17090009000228,18.66093,170,23800978,,MOST DISTURBED,23862-ORDEQ,"Bear Creek at River Mile 2.1 (Rock, Pudding, Willamette)"
N,,38538-ORDEQ:20160615:R:SR,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St,Beaver Creek,06/15/2016,564,45.53127469,-122.3810366,OR_SR_1708000107_02_103612,3,MARINE WEST COAST FOREST,17080001000648,35.007219999999997,36,23737123,,MOST DISTURBED,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St
N,,38538-ORDEQ:20170608:R:SR,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St,Beaver Creek,06/08/2017,527,45.53127469,-122.3810366,OR_SR_1708000107_02_103612,3,MARINE WEST COAST FOREST,17080001000648,35.007219999999997,36,23737123,,MOST DISTURBED,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St
N,,38538-ORDEQ:20180703:R:SR,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St,Beaver Creek,07/03/2018,518,45.53127469,-122.3810366,OR_SR_1708000107_02_103612,3,MARINE WEST COAST FOREST,17080001000648,35.007219999999997,36,23737123,,MOST DISTURBED,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St
N,,38538-ORDEQ:20190903:R:SR,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St,Beaver Creek,09/03/2019,557,45.53127469,-122.3810366,OR_SR_1708000107_02_103612,3,MARINE WEST COAST FOREST,17080001000648,35.007219999999997,36,23737123,,MOST DISTURBED,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St
N,,38538-ORDEQ:20210701:NA:R:SR,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St,Beaver Creek,07/01/2021,526,45.53127469,-122.3810366,OR_SR_1708000107_02_103612,3,MARINE WEST COAST FOREST,17080001000648,35.007219999999997,36,23737123,,MOST DISTURBED,38538-ORDEQ,Beaver Cr at Sandee Palisades IV Greenway Footbridge nr SE 15th St
Y,,24136-ORDEQ:20000814:R:SR,24136-ORDEQ,Beaver Cr. (near Red Boy Mine),Beaver Creek,08/14/2000,483,44.77694615,-118.4507855,OR_WS_170702020203_05_102094,11,WESTERN CORDILLERA,17070202000547,71.678700000000006,4812,23673445,,MOST DISTURBED,24136-ORDEQ,Beaver Cr. (near Red Boy Mine)
