Taxon_Group,Taxon,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI
Other Non-Insect,Aaptos,TRUE,Sponges excluded,DNI,DNI,DNI,DNI
Chironomidae,Ablabesmyia,FALSE,,Ablabesmyia,Ablabesmyia,Ablabesmyia,Ablabesmyia
Other Non-Insect,Acalyptonotus,FALSE,,DNI,Acalyptonotus,Trombidiformes,DNI
Chironomidae,Acamptocladius,FALSE,,DNI,Acamptocladius,Acamptocladius,DNI
Other Non-Insect,Acar,FALSE,,DNI,Acari,Acari,DNI
Other Non-Insect,Acari,FALSE,,DNI,Acari,Acari,DNI
Other Non-Insect,Acarina,FALSE,,DNI,Acari,Acari,DNI
Ephemeroptera,Acentrella,FALSE,,DNI,Acentrella,Acentrella,DNI
Ephemeroptera,Acentrella insignificans,FALSE,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI
Ephemeroptera,Acentrella insignificans complex,FALSE,,Acentrella insignificans,Acentrella insignificans,Acentrella insignificans,DNI
Ephemeroptera,Acentrella turbida,FALSE,,Acentrella turbida,Acentrella turbida,Acentrella turbida,Acentrella turbida
Ephemeroptera,Acerpenna,FALSE,,DNI,Acerpenna,Acerpenna,DNI
Ephemeroptera,Acerpenna pygmaea,FALSE,,DNI,Acerpenna pygmaea,Acerpenna pygmaea,DNI
Oligochaeta,Achaeta,FALSE,,DNI,Achaeta,Oligochaeta,DNI
Coleoptera,Acilius,FALSE,,DNI,Acilius,Acilius,DNI
Coleoptera,Acilius abbreviatus,FALSE,,DNI,Acilius,Acilius,DNI
Coleoptera,Acneus,FALSE,,Acneus,Acneus,Acneus,Acneus
Chironomidae,Acricotopus,FALSE,,DNI,Acricotopus,Acricotopus,DNI
Plecoptera,Acroneuria,FALSE,I am skeptical of this ID,DNI,Perlodidae,Perlodidae,DNI
Fish,Actinopterygii,TRUE,Fish,DNI,DNI,DNI,DNI
Diptera,Aedes,FALSE,,DNI,Culicidae,Culicidae,DNI
Odonata,Aeshna,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Odonata,Aeshna californica,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Odonata,Aeshna eremita,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
Odonata,Aeshna interrupta,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,DNI
