"","SAMPLEID","ReferenceSite","nt_EPT_resid","pt_ti_cowa_warm_stenowarm_resid","pi_habitat_rheo","pi_NonIns","pi_Colesens_resid","MMI.2024"
"1","103CDCHHR:20100914:T:SR","REFERENCE",0.797128771202143,0.739975022130087,0.778404698739795,0.94921875,0.726663609242241,0.798278170262853
"2","103KLCMSR:20100914:T:SR","REFERENCE",0.852225966725182,0.88055338145898,0.834647812810589,0.9765625,0.457631231619689,0.800324178522888
"3","103PS0281:20150722:T:SR","REFERENCE",0.611635751712751,0.752405728493718,0.954633122828284,0.9765625,0.81960276656131,0.822967973919213
"4","103STCNSR:20110809:T:SR","REFERENCE",0.70070938331883,0.224418520261703,0.608012026336847,0.898173167293233,0.710671695114012,0.628396958464925
"5","103WER026:20030729:R:SR","REFERENCE",0.801682305850088,0.743724574997825,0.827148730934483,0.6953125,0.76083886008256,0.765741394372991
"6","103WER029:20030730:R:SR","REFERENCE",0.797880315769069,1,0.86089459937696,0.80859375,0.518012841703848,0.797076301369975
"7","103WER030:20110810:T:SR","REFERENCE",0.686233297644509,0.578135479012719,0.729660666545106,0.8125,0.553167352257475,0.671939359091962
"8","105BVCAGC:20100921:T:SR","REFERENCE",1,0.688767443358563,0.733410207483159,0.953125,0.61830371429004,0.798721273026352
"9","105FC1297:20140722:T:SR","REFERENCE",0.745307406769728,0.690173923413309,0.864644140315013,0.953125,0.721034787572509,0.794857051614112
"10","105FS0416:20130924:T:SR","REFERENCE",0.917879040265403,0.489133607782099,0.875892763129172,0.953125,0.631613930513414,0.773528868338017
"11","105FS0425:20110810:T:SR","REFERENCE",0.888997445921053,0.468422639481965,0.834647812810589,0.88671875,0.666885359453456,0.749134401533413
"12","105FS0428:20110803:T:SR","REFERENCE",0.498730171543241,0.876184126974063,0.887141385943331,0.9140625,0.657341662545576,0.766691969401242
"13","105PS0083:20090908:T:SR","REFERENCE",0.963839445204008,0.832523587530368,0.722161584669,0.890625,0.757922941164258,0.833414511713527
"14","105PS0275:20150819:T:SR","REFERENCE",0.601227929154942,0.228719833408726,0.219723098969903,0.88671875,0.708517390926294,0.528981400491973
"15","105TMCACC:20100810:T:SR","REFERENCE",0.650814635234362,0.791446618260519,0.935885418138019,0.953125,0.474867156258424,0.761227765578265
"16","105WLCABC:20110803:T:SR","REFERENCE",0.586827783514521,0.600969787542975,0.947134040952178,0.953125,0.636451446741968,0.744901611750328
