"","SAMPLEID","ReferenceSite","pt_tv_intol_resid","nt_habitat_rheo_resid","pt_ti_stenocold_cold_cool_resid","pi_EPTNoHydro_resid","MMI.2024"
"1","103CDCHHR:20100914:T:SR","REFERENCE",0.92640039205305,0.689780947258804,0.858233878047368,0.994707813259004,0.867280757654556
"2","103KLCMSR:20100914:T:SR","REFERENCE",0.963821276449225,0.865498568450094,0.976526690325689,0.858292464378656,0.916034749900916
"3","103PS0281:20150722:T:SR","REFERENCE",0.690626025579832,0.669818024286654,0.662865391461598,0.305793595884219,0.582275759303076
"4","103STCNSR:20110809:T:SR","REFERENCE",0.696428516480663,0.766664307127765,0.383918475566378,0.639323898595407,0.621583799442553
"5","103WER026:20030729:R:SR","REFERENCE",0.709340466475374,0.801332986411113,0.834117688184199,0.569415923342515,0.7285517661033
"6","103WER029:20030730:R:SR","REFERENCE",0.560657799137493,0.826408386905231,1,0.614147332040769,0.750303379520873
"7","103WER030:20110810:T:SR","REFERENCE",0.633487640049636,0.613824161505416,0.657788986464011,0.955936562716752,0.715259337683954
"8","105BVCAGC:20100921:T:SR","REFERENCE",0.845168040783131,0.992074315798257,0.747833050529398,0.617010844870478,0.800521562995316
"9","105FC1297:20140722:T:SR","REFERENCE",0.725893097171516,0.783060379534676,0.704868085353454,0.80674133326307,0.755140723830679
"10","105FS0416:20130924:T:SR","REFERENCE",0.797979986550906,0.958790037987731,0.63933770401002,0.582801711826659,0.744727360093829
"11","105FS0425:20110810:T:SR","REFERENCE",0.654851471414724,0.830589982429583,0.556504637630769,0.684072267134865,0.681504589652485
"12","105FS0428:20110803:T:SR","REFERENCE",0.673224342780367,0.486633569467275,0.735767300734573,0.775271738333887,0.667724237829025
"13","105PS0083:20090908:T:SR","REFERENCE",0.797544639225781,0.862705941961652,0.909727240962027,0.536492554071948,0.776617594055352
"14","105PS0275:20150819:T:SR","REFERENCE",0.533910136024441,0.481283023813104,0.293308331085885,0.505064091317334,0.453391395560191
"15","105TMCACC:20100810:T:SR","REFERENCE",0.7211081634641,0.811471220703684,0.684661748792824,0.702666807047105,0.729976985001928
"16","105WLCABC:20110803:T:SR","REFERENCE",0.816500477982161,0.568539241825024,0.664676297522957,0.942621471196929,0.748084372131768
"17","107GWCAPC:20100915:T:SR","REFERENCE",0.793528776450429,0.63654909411871,0.696091135796364,0.758949513163487,0.721279629882247
"18","107WER092:20030812:R:SR","REFERENCE",0.707537283451291,0.683490343432182,0.753075135157763,0.701437869503984,0.711385157886305
"19","11850-ORDEQ:19990729:R:SR","REFERENCE",0.787393180027789,0.673751801007204,0.608813880032164,0.49493386727226,0.641223182084854
"20","119633","REFERENCE",0.770303215741275,0.714879186740317,0.358619277814562,0.799278609399614,0.660770072423942
"21","119663","REFERENCE",0.731306923743254,0.819431053700894,0.600722704126393,0.254549294755042,0.601502494081396
"22","12092-ORDEQ:20070814:R:SR","REFERENCE",1,0.757928655826561,0.892569641376146,0.950659028254123,0.900289331364208
"23","12181-ORDEQ:20000927:R:SR","REFERENCE",0.913652530932182,0.724145618802362,0.985661853741019,0.945518227906679,0.892244557845561
"24","123287","REFERENCE",0.803669653635798,0.556268336803815,0.397774648626325,0.603186123522619,0.590224690647139
"25","123315","REFERENCE",0.943266409120927,0.934511757330703,0.668010096765022,0.849001224262994,0.848697371869912
"26","123444","REFERENCE",0.929741925043585,0.825679059617789,0.9271888753034,0.778369059555732,0.865244729880126
"27","12521-ORDEQ:20070828:R:SR","REFERENCE",0.957674222771249,0.519212601815096,1,0.306922997751446,0.695952455584448
"28","125362","REFERENCE",0.99127107179004,0.651494559975845,0.804183558526574,0.78478356129933,0.807933187897948
"29","126606","REFERENCE",0.764942603646179,0.50195379204965,0.422852274107195,0.214109874554726,0.475964636089437
"30","127205","REFERENCE",0.977991855575169,0.705760755044068,1,0.926850468115846,0.902650769683771
"31","12871-ORDEQ:20000811:R:SR","REFERENCE",0.930970066210509,0.778353326419583,0.864269908646371,0.788687858818613,0.840570290023769
"32","12886-ORDEQ:19970812:R:SR","REFERENCE",1,0.795900770527794,1,1,0.948975192631949
"33","12889-ORDEQ:20160627:R:SR","REFERENCE",0.742538904218043,1,0.593230245566856,0.626738146059355,0.740626823961063
