"","V1"
"ni_total_resid",0.205839762258254
"li_total_resid",0.362951700873522
"ni_Chiro_resid",-0.642712005785352
"ni_EPT_resid",-5.88735468378103
"ni_Trich_resid",-5.15043625339517
"nt_total_resid",-8.14743533894466
"nt_Amph_resid",4.73457925187079
"nt_Bival_resid",5.46302288014402
"nt_Coleo_resid",-6.22965512713344
"nt_COET_resid",-7.95691683735441
"nt_CruMol_resid",8.44948192329764
"nt_Dipt_resid",-4.4973794639497
"nt_ECT_resid",-8.73117129088115
"nt_Ephem_resid",-4.26129212545202
"nt_Ephemerellid_resid",-4.24569695690153
"nt_ET_resid",-8.14262171020912
"nt_EPT_resid",-9.51159321474067
"nt_Gast_resid",8.3807784328625
"nt_Hepta_resid",-5.8342181851738
"nt_Insect_resid",-9.60200242686386
"nt_Isop_resid",2.89367125522809
"nt_Mega_resid",0.496363194329648
"nt_Mol_resid",9.53621948851587
"nt_Nemour_resid",-3.82647469407718
"nt_NonIns_resid",5.30755285455883
"nt_Odon_resid",-0.201489514568055
"nt_OET_resid",-7.84978564522899
"nt_Oligo_resid",4.88384671967914
"nt_Perlid_resid",-12.0785896223761
"nt_Pleco_resid",-8.24797488903799
"nt_POET_resid",-9.34238330570996
"nt_Ptero_resid",-3.66024360538692
"nt_Rhya_resid",-7.49287699447292
"nt_Tipulid_resid",-1.74533228543511
"nt_Trich_resid",-9.57157100026607
"nt_TrichNoHydro_resid",-10.1693451542867
"nt_Tromb_resid",-3.30599086317842
"nt_Tubif_resid",NA
"pi_Amph_resid",1.31971668508274
"pi_AmphIsop_resid",1.6475401897705
"pi_Baet_resid",-0.290739093219603
"pi_Bival_resid",2.6959268694648
"pi_Caen_resid",1.27616620731148
"pi_Cheu_resid",3.02443936633689
"pi_Coleo_resid",0.0344028695668001
"pi_COET_resid",-4.6224573609068
"pi_Corb_resid",1.07133144030449
"pi_CorixPhys_resid",3.23815300722931
"pi_CraCaeGam_resid",3.64268410217974
"pi_Cru_resid",0.764668884531031
"pi_CruMol_resid",4.63619439155507
"pi_Deca_resid",-0.294516157574286
"pi_Dipt_resid",0.93475913261171
"pi_DiptNonIns_resid",5.77757984179364
"pi_ECT_resid",-4.61039401387578
"pi_Ephem_resid",-2.87933307968576
"pi_EphemNoCae_resid",-4.09620998984701
"pi_EphemNoCaeBae_resid",-3.64788899774317
"pi_EPT_resid",-5.88281359628711
"pi_EPTNoBaeHydro_resid",-8.79801607577597
"pi_EPTNoCheu_resid",-5.87160617476513
"pi_EPTNoHydro_resid",-7.43082715248833
"pi_ET_resid",-5.10354738964388
"pi_Gast_resid",4.18615520859267
"pi_Hydro_resid",1.68969146115967
"pi_Hydro2EPT_resid",3.11428565592635
"pi_Hydro2Trich_resid",2.81571609766076
"pi_Insect_resid",-5.75405282992303
"pi_Isop_resid",2.13879127445452
"pi_IsopGastHiru_resid",3.5344477877375
"pi_Juga_resid",NA
"pi_JugaFlumi_resid",NA
"pi_Mega_resid",1.54526490545354
"pi_Mol_resid",4.64238670281679
"pi_Nemata_resid",0.999224367115778
"pi_NonIns_resid",5.4559697875701
"pi_Odon_resid",1.29302739370348
"pi_OET_resid",-4.85809646960612
"pi_Oligo_resid",2.81774358096416
"pi_Pleco_resid",-4.35830426787392
"pi_POET_resid",-5.73193761635509
"pi_Sphaer_resid",2.10469714417834
"pi_SphaerCorb_resid",2.38145736363774
"pi_Trich_resid",-5.20008603435736
"pi_TrichNoHydro_resid",-10.1123006064525
"pi_Tromb_resid",-3.67267062840163
"pt_Amph_resid",5.1438574544989
"pt_Bival_resid",5.93693881502096
"pt_COET_resid",-7.11654524183627
"pt_Coleo_resid",-5.01834883098678
"pt_Deca_resid",-0.205986651336438
"pt_Dipt_resid",3.28207614130219
"pt_ECT_resid",-7.04099352446246
"pt_Ephem_resid",-3.72762869181499
"pt_EPT_resid",-6.87638753729246
"pt_ET_resid",-6.64781269116523
"pt_Gast_resid",7.63360633566332
"pt_Insect_resid",-7.7170635727974
"pt_Isop_resid",2.78016749562885
"pt_Mega_resid",2.901886663292
"pt_NonIns_resid",7.71692119798949
"pt_Odon_resid",1.55512401621617
"pt_OET_resid",-6.66773712166037
"pt_Oligo_resid",6.39360120697258
"pt_Pleco_resid",-6.51934027050912
"pt_POET_resid",-6.59455101319082
"pt_Trich_resid",-7.3797750625083
"pt_TrichNoHydro_resid",-7.28543796419353
"pt_Tromb_resid",-2.51148731638305
"nt_Chiro_resid",-2.20181022866149
"pi_Chiro_resid",-0.554912467347407
"pt_Chiro_resid",3.83122619165932
"pi_Ortho_resid",-2.3125845717966
"pi_Tanyt_resid",1.1652840216952
"pi_Tanyp_resid",3.43886556355227
"pi_COC2Chi_resid",-1.24966517318401
"pi_ChCr2Chi_resid",1.56012729105238
"pi_Orth2Chi_resid",-3.2646913144222
"pi_Tanyp2Chi_resid",4.58275118775406
"pi_ChiroAnne_resid",0.806570022746088
"pi_SimBtri_resid",-0.709242065530589
"pi_Colesens_resid",0.0824181863280112
"nt_ti_stenocold_resid",-4.19128916387639
"nt_ti_cold_resid",-7.54740302180883
"nt_ti_cool_resid",-10.3138059932694
"nt_ti_warm_resid",2.02033926839195
"nt_ti_stenowarm_resid",5.02673840983741
"nt_ti_eury_resid",-1.42435384561399
"nt_ti_cowa_resid",-6.00768888584849
"nt_ti_stenocold_cold_resid",-4.85117872926844
"nt_ti_stenocold_cold_cool_resid",-8.74189529915758
"nt_ti_cowa_warm_stenowarm_resid",-0.632194722622095
"nt_ti_warm_stenowarm_resid",2.53972913150707
"pi_ti_stenocold_resid",-2.10985522753197
"pi_ti_cold_resid",-2.43012409711082
"pi_ti_cool_resid",-7.35983324017598
"pi_ti_warm_resid",5.70982922250218
"pi_ti_stenowarm_resid",4.67315179026489
"pi_ti_eury_resid",0.114446686244893
"pi_ti_cowa_resid",1.22206625513116
"pi_ti_stenocold_cold_resid",-2.44111369648361
"pi_ti_stenocold_cold_cool_resid",-6.68380987388111
"pi_ti_cowa_warm_stenowarm_resid",7.89089516855506
"pi_ti_warm_stenowarm_resid",7.10150071527424
"pt_ti_stenocold_resid",-4.24257747966087
"pt_ti_cold_resid",-3.67077148855628
"pt_ti_cool_resid",-9.44428985319532
"pt_ti_warm_resid",5.55818922428033
"pt_ti_stenowarm_resid",5.54123331552543
"pt_ti_eury_resid",4.00436369708555
"pt_ti_cowa_resid",-3.75971919143898
"pt_ti_stenocold_cold_resid",-4.87782826359971
"pt_ti_stenocold_cold_cool_resid",-8.78126940309477
"pt_ti_cowa_warm_stenowarm_resid",4.1591422039227
"pt_ti_warm_stenowarm_resid",6.49885444364009
"nt_tv_intol_resid",-10.0815118529814
"nt_tv_intol4_resid",-10.0279940591603
"nt_tv_toler_resid",5.52613521312098
"pi_tv_intol_resid",-10.1819756165831
"pi_tv_intol4_resid",-10.0474066673482
"pi_tv_toler_resid",5.1903475252466
"pi_tv_toler6_resid",5.25611262872454
"pt_tv_intol_resid",-9.11658766537023
"pt_tv_intol4_resid",-9.895239094049
"pt_tv_toler_resid",9.15790517360016
"nt_tv_intol4_EPT_resid",-9.84214440085312
"nt_tv_ntol_resid",-10.2527882010002
"nt_tv_stol_resid",3.52246413237043
"pi_tv_ntol_resid",-4.79297538956015
"pi_tv_stol_resid",3.25080740350916
"pt_tv_ntol_resid",-8.87219434712399
"pt_tv_stol_resid",6.95665581322989
"pi_tv2_intol_resid",-4.89545277007788
"nt_ffg_col_resid",-4.58585705346292
"nt_ffg_filt_resid",0.0454054772349851
"nt_ffg_pred_resid",-5.06866662591024
"nt_ffg_scrap_resid",-7.35443407996591
"nt_ffg_shred_resid",-8.20707981013063
"nt_ffg_mah_resid",-0.299394814247876
"nt_ffg_omn_resid",-1.66837776922421
"nt_ffg_par_resid",0.518756489705515
"nt_ffg_pih_resid",0.519104938899146
"nt_ffg_xyl_resid",1.09164299936959
"nt_ffg_pred_scrap_shred_resid",-8.71340607263047
"pi_ffg_col_resid",-0.196421603746387
"pi_ffg_filt_resid",0.579760362669902
"pi_ffg_pred_resid",-4.39842234458235
"pi_ffg_scrap_resid",-4.69037352094615
"pi_ffg_shred_resid",-0.292312254327526
"pi_ffg_mah_resid",-0.541534364020231
"pi_ffg_omn_resid",3.03078957945158
"pi_ffg_par_resid",0.925764507001945
"pi_ffg_pih_resid",-3.24397819384985
"pi_ffg_xyl_resid",1.4356314386872
"pi_ffg_col_filt_resid",2.39842581110224
"pt_ffg_col_resid",2.40017764611397
"pt_ffg_filt_resid",4.22627959924183
"pt_ffg_pred_resid",-2.5291659704851
"pt_ffg_scrap_resid",-5.82204960446593
"pt_ffg_shred_resid",-1.05641605857789
"pt_ffg_mah_resid",0.590438211249278
"pt_ffg_omn_resid",3.09719724868004
"pt_ffg_par_resid",2.16414494304585
"pt_ffg_pih_resid",1.18137349808124
"pt_ffg_xyl_resid",1.34789395692894
"nt_habit_burrow_resid",-1.83176618282696
"nt_habit_climb_resid",NA
"nt_habit_climbcling_resid",-10.1518128823391
"nt_habit_cling_resid",-9.98804809770416
"nt_habit_sprawl_resid",-1.69806965427064
"nt_habit_swim_resid",-2.12483646399708
"pi_habit_burrow_resid",1.42470084992994
"pi_habit_climb_resid",NA
"pi_habit_climbcling_resid",-6.76129016296431
"pi_habit_cling_resid",-6.68424130427774
"pi_habit_cling_PlecoNoCling_resid",-6.71527422715573
"pi_habit_sprawl_resid",-0.430924762710445
"pi_habit_swim_resid",-1.06948187555399
"pt_habit_burrow_resid",2.22604530381135
"pt_habit_climb_resid",NA
"pt_habit_climbcling_resid",-7.23442107717039
"pt_habit_cling_resid",-7.28150430662577
"pt_habit_sprawl_resid",4.03200933807652
"pt_habit_swim_resid",1.10455826228099
"nt_volt_multi_resid",-1.90962491549713
"nt_volt_semi_resid",-10.8119873297089
"nt_volt_uni_resid",-5.87969783317442
"pi_volt_multi_resid",2.0359468997782
"pi_volt_semi_resid",-1.57236864144085
"pi_volt_uni_resid",0.385122825072151
"pt_volt_multi_resid",7.65237890589607
"pt_volt_semi_resid",-8.08820911079457
"pt_volt_uni_resid",-0.836877588066133
"pi_dom01_resid",4.06649095621955
"pi_dom02_resid",5.23890819534902
"pi_dom03_resid",6.425981704741
"pi_dom04_resid",6.64904858023245
"pi_dom05_resid",7.00153510579444
