"","sampleId","taxonomyId","scientificName","levelId","levelName","otuName","splitCount"
"1",108293,184,"Orthocladiinae",20,"SubFamily","Orthocladiinae",17
"2",108293,222,"Prosimulium",23,"Genus","Prosimulium",7
"3",108293,237,"Dicranota",23,"Genus","Dicranota",3
"4",108293,241,"Hexatoma",23,"Genus","Hexatoma",1
"5",108293,250,"Baetis",23,"Genus","Baetis",52
"6",108293,267,"Drunella doddsii",25,"Species","Drunella  doddsii",4
"7",108293,279,"Cinygmula",23,"Genus","Cinygmula",70
"8",108293,285,"Rhithrogena",23,"Genus","Rhithrogena",11
"9",108293,303,"Ameletus",23,"Genus","Ameletus",9
"10",108293,419,"Sweltsa",23,"Genus","Sweltsa",2
"11",108293,438,"Visoka",23,"Genus","Visoka",20
"12",108293,450,"Doroneuria",23,"Genus","Doroneuria",1
"13",108293,464,"Megarcys",23,"Genus","Megarcys",7
"14",108293,502,"Parapsyche",23,"Genus","Parapsyche",4
"15",108293,549,"Neophylax",23,"Genus","Neophylax",2
"16",108293,567,"Dolophilodes",23,"Genus","Dolophilodes",1
"17",108293,652,"Nematoda",5,"Phylum","Nematoda",1
"18",108293,667,"Rhabdomastix",23,"Genus","Rhabdomastix",1
"19",108293,836,"Drunella spinifera",25,"Species","Drunella  grandis  spinifera",1
"20",108293,1180,"Drunella coloradensis/flavilinea",30,"Species group","Drunella  coloradensis  flavilinea",11
"21",108293,1189,"Moselia infuscata",25,"Species","Moselia",1
"22",108295,58,"Trombidiformes",13,"Order","Arachnida",1
"23",108295,128,"Heterlimnius",23,"Genus","Heterlimnius",1
"24",108295,176,"Blephariceridae",19,"Family","Blephariceridae",1
"25",108295,184,"Orthocladiinae",20,"SubFamily","Orthocladiinae",18
"26",108295,204,"Oreogeton",23,"Genus","Oreogeton",2
"27",108295,223,"Simulium",23,"Genus","Simulium",1
"28",108295,250,"Baetis",23,"Genus","Baetis",92
"29",108295,267,"Drunella doddsii",25,"Species","Drunella  doddsii",13
"30",108295,285,"Rhithrogena",23,"Genus","Rhithrogena",8
"31",108295,419,"Sweltsa",23,"Genus","Sweltsa",5
"32",108295,450,"Doroneuria",23,"Genus","Doroneuria",1
"33",108295,484,"Micrasema",23,"Genus","Micrasema",35
"34",108295,491,"Glossosoma",23,"Genus","Glossosoma",4
"35",108295,499,"Hydropsyche",23,"Genus","Hydropsyche",9
"36",108295,567,"Dolophilodes",23,"Genus","Dolophilodes",4
"37",108295,578,"Polycentropus",23,"Genus","Polycentropodidae",1
"38",108295,837,"Calineuria californica",25,"Species","Calineuria",6
"39",108295,1073,"Ampumixis dispar",25,"Species","Ampumixis",5
"40",108295,1180,"Drunella coloradensis/flavilinea",30,"Species group","Drunella  coloradensis  flavilinea",2
"41",108295,1186,"Orohermes crepusculus",25,"Species","Corydalidae",3
"42",108303,58,"Trombidiformes",13,"Order","Arachnida",5
"43",108303,128,"Heterlimnius",23,"Genus","Heterlimnius",4
"44",108303,182,"Chironominae",20,"SubFamily","Chironominae",8
"45",108303,184,"Orthocladiinae",20,"SubFamily","Orthocladiinae",34
"46",108303,187,"Tanypodinae",20,"SubFamily","Tanypodinae",1
"47",108303,213,"Glutops",23,"Genus","Glutops",1
"48",108303,222,"Prosimulium",23,"Genus","Prosimulium",4
"49",108303,223,"Simulium",23,"Genus","Simulium",2
"50",108303,250,"Baetis",23,"Genus","Baetis",27
"51",108303,267,"Drunella doddsii",25,"Species","Drunella  doddsii",5
"52",108303,419,"Sweltsa",23,"Genus","Sweltsa",1
"53",108303,443,"Yoraperla",23,"Genus","Yoraperla",166
"54",108303,484,"Micrasema",23,"Genus","Micrasema",30
"55",108303,647,"Pisidium",23,"Genus","Pisidiidae",1
"56",108303,836,"Drunella spinifera",25,"Species","Drunella  grandis  spinifera",10
"57",108303,838,"Hesperoperla pacifica",25,"Species","Hesperoperla  pacifica",1
"58",108304,58,"Trombidiformes",13,"Order","Arachnida",1
"59",108304,182,"Chironominae",20,"SubFamily","Chironominae",23
"60",108304,184,"Orthocladiinae",20,"SubFamily","Orthocladiinae",70
"61",108304,187,"Tanypodinae",20,"SubFamily","Tanypodinae",1
"62",108304,215,"Maruina",23,"Genus","Psychodidae",1
"63",108304,250,"Baetis",23,"Genus","Baetis",33
"64",108304,267,"Drunella doddsii",25,"Species","Drunella  doddsii",57
"65",108304,279,"Cinygmula",23,"Genus","Cinygmula",7
"66",108304,282,"Ironodes",23,"Genus","Ironodes",1
