"","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null"
"114305",11,13.1797402597403,0.834614323440148,9,9.25,0.972972972972973,0.276165741331725,0.238013698630137
"114320",11,9.3684006767456,1.17415985711461,11,9.25,1.18918918918919,0.198214064912776,0.202160493827161
"119633",14,10.5193600554465,1.33087943812242,12,9.25,1.2972972972973,0.201191076857287,0.192647058823529
"121254",10,7.85094724862766,1.27373165088429,7,9.25,0.756756756756757,0.120388723435254,0.296153846153846
"121257",8,10.4974169278997,0.762092241829308,7,9.25,0.756756756756757,0.343237735247058,0.309615384615385
"121259",12,11.5504238816739,1.0389229107894,10,9.25,1.08108108108108,0.24518596499559,0.25974025974026
"121261",12,10.0664345963315,1.19208046157407,11,9.25,1.18918918918919,0.203551028976872,0.209876543209877
"121262",8,6.43586139690036,1.24303484904957,7,9.25,0.756756756756757,0.108350901972188,0.313461538461538
"121271",11,15.9016065678191,0.691754003162251,10,9.25,1.08108108108108,0.34610870863958,0.222402597402597
"121276",15,12.3135934241197,1.21816593120723,12,9.25,1.2972972972973,0.20146016023673,0.189705882352941
"121277",8,12.9440227781167,0.618045883967762,8,9.25,0.864864864864865,0.358924920296565,0.273550724637681
"121279",13,10.1341837548417,1.28278708127719,13,9.25,1.40540540540541,0.170392855750845,0.168539325842697
"121281",12,12.3174420516193,0.97422824882886,11,9.25,1.18918918918919,0.230473512120044,0.209876543209877
"121282",13,11.2698737124944,1.15351780611237,12,9.25,1.2972972972973,0.206663952006461,0.186764705882353
"121284",11,12.2133510997673,0.900653711675381,9,9.25,0.972972972972973,0.265927787329433,0.229452054794521
"154173",10,11.1346388276488,0.898098281838172,10,9.25,1.08108108108108,0.257923583106501,0.230519480519481
"156883",10,8.41194670962113,1.18878546728815,11,9.25,1.18918918918919,0.200813038951798,0.200617283950617
"173939",11,9.45825687800996,1.16300499572754,11,9.25,1.18918918918919,0.202738342307302,0.209876543209877
"174027",9,7.88073685180068,1.14202518993431,8,9.25,0.864864864864865,0.148258834378689,0.277173913043478
"174057",13,9.21116737321401,1.41133034210234,13,9.25,1.40540540540541,0.170582327489694,0.168539325842697
"174078",6,6.49555035128806,0.923709258725123,5,9.25,0.540540540540541,0.197280076422066,0.418859649122807
"174172",9,7.76412044145007,1.15917830846003,9,9.25,0.972972972972973,0.136669568615282,0.246575342465753
"174429",8,7.75656026216774,1.03138501211931,5,9.25,0.540540540540541,0.170870876191312,0.375
"174578",13,12.2236970248435,1.06350803472785,11,9.25,1.18918918918919,0.210087690061287,0.197530864197531
"174580",13,10.599119672274,1.22651695630972,10,9.25,1.08108108108108,0.197568359121319,0.214285714285714
"174586",12,10.9130623993421,1.09959968713488,10,9.25,1.08108108108108,0.205969175615126,0.217532467532468
"174591",13,13.0319933202998,0.997545017134874,10,9.25,1.08108108108108,0.253074874901164,0.212662337662338
"174596",14,13.062869564148,1.07174001326815,10,9.25,1.08108108108108,0.222241780587962,0.227272727272727
"174618",12,11.9577940421161,1.00352957725608,8,9.25,0.864864864864865,0.261835942904399,0.26268115942029
"174628",6,6.69690335207577,0.895936477587099,6,9.25,0.648648648648649,0.267829640147928,0.375
"174636",5,9.84491265453076,0.50787652216487,6,9.25,0.648648648648649,0.393455260720205,0.346311475409836
"174848",12,9.22569577720223,1.30071490430601,12,9.25,1.2972972972973,0.203218998201485,0.189705882352941
"174856",13,9.76876489028213,1.33077212380577,11,9.25,1.18918918918919,0.212036067670113,0.199074074074074
"174944",8,11.8576733375914,0.67466861096926,8,9.25,0.864864864864865,0.365291591866361,0.311594202898551
"174961",11,9.91617413807496,1.10929879274341,11,9.25,1.18918918918919,0.207296925204202,0.209876543209877
"174963",9,8.87454605579605,1.01413637874154,9,9.25,0.972972972972973,0.208075093145754,0.236301369863014
"174975",11,10.0472414846583,1.09482787059479,10,9.25,1.08108108108108,0.230613016499756,0.227272727272727
"174983",10,9.50900444352825,1.05163480145452,10,9.25,1.08108108108108,0.21507102562699,0.23538961038961
"175008",9,9.20031811160161,0.978227045068256,9,9.25,0.972972972972973,0.258541589374154,0.23972602739726
"175018",8,10.6431172520661,0.751659481948015,7,9.25,0.756756756756757,0.310414941423106,0.294230769230769
"175163",11,10.0573466836625,1.09372783359142,11,9.25,1.18918918918919,0.231181199413715,0.239197530864198
"175166",12,9.50977260963674,1.26185982489632,12,9.25,1.2972972972973,0.16956455219988,0.188235294117647
"175167",13,11.400824186939,1.14026843909171,11,9.25,1.18918918918919,0.221342561863688,0.205246913580247
"175173",12,10.8716604176855,1.10378723570863,10,9.25,1.08108108108108,0.227927298299744,0.25974025974026
"175178",11,9.97625008681158,1.10261870986392,10,9.25,1.08108108108108,0.214374076599825,0.212662337662338
