"Sample","MLocID","StationDes","Project1","Date","Habitat","Activity_Type","lat","long","total.richness","Coleoptera.rich","Diptera.rich","Ephemeroptera.rich","Plecoptera.rich","Trichoptera.rich","Baetidae.rich","Chironomidae.rich","Hydropsychidae.rich","pct_Coleoptera","pct_Diptera","pct_Ephemeroptera","pct_Plecoptera","pct_Trichoptera","EPT.rich","pct_EPT","multivoltine.rich","semivoltine.rich","univoltine.rich","pct_multivoltine","pct_semivoltine","pct_univoltine","CF.rich","CG.rich","MH.rich","OM.rich","PA.rich","PH.rich","PR.rich","SC.rich","SH.rich","UN.rich","NA.rich","pct_CF","pct_CG","pct_MH","pct_OM","pct_PA","pct_PH","pct_PR","pct_SC","pct_SH","pct_UN","pct_NA","pct_Dom.5","pct_Dom.3","pct_Dom.1","Shannon_diversity","Simpson_diversity","Evenness","Non.Insect_richness","pct_Non.Insect","MTI","tot.abund.RIV","tot.abund","tot.abund.y","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null","outlier.05","outlier.01","oe.cond","BSTI","org_id","MLocID.y","Eco2","Eco3","ELEV_m","precip_mm","temp_Cx10","W_E","HUC8_Name","HUC12_Name","Wade_Boat","Result_Status","low.count","methods.ok","OE.outlier","month","index.period","Use.303d","reason.no.303"
"10404-ORDEQ:20140821:R:SR","10404-ORDEQ","Umatilla River at Yoakum Bridge","Statewide Biomonitoring","2014-08-21","Benthic Kick - Targeted Riffle","Sample-Routine",45.67731022,-119.0363477,40,2,12,8,1,6,4,11,2,10.3130755064457,26.7034990791897,10.4972375690608,4.41988950276243,37.0165745856354,15,51.9337016574586,14,3,17,36.6482504604052,0.552486187845304,48.4346224677716,3,14,NA,5,NA,2,4,6,NA,1,5,25.5985267034991,18.4162062615101,0,7.73480662983425,0,9.76058931860037,9.20810313075506,13.4438305709024,0,1.65745856353591,14.1804788213628,45.6721915285451,33.3333333333333,17.1270718232044,2.88048206525868,0.91487370438769,0.780855569039071,6,7.91896869244936,4.78649237472767,300,543,543,8,12.4571960564531,0.64,7,14.1017964071856,0.496390658174098,0.336829763523237,0.480703745743473,1,0,"Most disturbed",14.1392692303232,"OREGONDEQ","10404-ORDEQ","COLD DESERTS","10",235.0008,279,178,"e","Umatilla","Mud Spring Canyon-Umatilla River","boatable","Final","NO","Yes","No",8,"Yes","No","    non.wadeable "
"10405-ORDEQ:20140821:R:SR","10405-ORDEQ","Umatilla River at Rieth Bridge","Statewide Biomonitoring","2014-08-21","Benthic Kick - Targeted Riffle","Sample-Routine",45.65753433,-118.8767931,49,4,17,7,2,6,4,12,2,11.2167300380228,25.8555133079848,13.3079847908745,4.18250950570342,34.4106463878327,15,51.9011406844106,16,6,17,27.5665399239544,4.37262357414449,52.0912547528517,4,14,NA,4,NA,1,8,9,NA,1,8,19.7718631178707,18.6311787072243,0,11.9771863117871,0.380228136882129,3.61216730038023,8.36501901140684,22.0532319391635,0,1.14068441064639,14.0684410646388,40.3041825095057,27.7566539923954,12.1673003802281,3.14633960708628,0.936408869659275,0.808449354306965,10,8.74524714828897,4.54606741573034,300,526,526,12,12.457761626886,0.96,10,14.1017964071856,0.709129511677282,0.22224931937301,0.386335403726708,0,0,"Least disturbed",10.4070334405614,"OREGONDEQ","10405-ORDEQ","COLD DESERTS","10",291.084,330,174,"e","Umatilla","Cottonwood Creek-Umatilla River","wadeable","Final","NO","Yes","No",8,"Yes","Yes","     "
"10548-ORDEQ:19960729:R:SR","10548-ORDEQ","Big Creek U/S Fish Hatchery (Lower Columbia)","EMAP/REMAP/CEMAP","1996-07-29","Benthic Kick - Targeted Riffle","Sample-Routine",46.13482,-123.55353,42,3,9,9,10,8,3,4,2,1.96850393700787,52.3622047244094,19.8818897637795,9.05511811023622,16.1417322834646,27,45.0787401574803,8,9,24,63.9763779527559,7.67716535433071,28.1496062992126,3,14,NA,NA,1,NA,15,3,4,1,1,7.48031496062992,66.1417322834646,0,0,0.196850393700787,0,21.6535433070866,1.37795275590551,1.77165354330709,1.18110236220472,0.196850393700787,66.5354330708661,52.3622047244094,21.259842519685,2.61943663865332,0.879211790430605,0.700820807125368,2,0.393700787401575,2.91538461538462,300,508,508,18,17.59413574801,1.02,18,17.0789473684211,1.05392912172573,0.242876316039479,0.231807951987997,0,0,"Least disturbed",1.98531037134691,"OREGONDEQ","10548-ORDEQ","MWCF","1",93.5736,2159,150,"w","Lower Columbia","Big Creek","wadeable","Rejected","NO","No","No",7,"Yes","No"," methods    "
"10588-ORDEQ:20080715:R:QCFR","10588-ORDEQ","Deer Creek at mouth","Water Quality Response Monitoring","2008-07-15","Benthic Kick - Targeted Riffle","Quality Control Sample-Field Replicate",44.53298927,-123.8806873,62,7,20,8,11,8,2,13,1,7.8125,28.515625,13.8671875,29.4921875,9.765625,27,53.125,14,16,26,28.515625,26.171875,41.6015625,2,16,1,7,1,NA,13,9,7,1,5,3.515625,27.734375,0.1953125,1.953125,0.390625,0,18.1640625,13.8671875,30.6640625,0.1953125,3.3203125,41.6015625,30.6640625,12.6953125,3.36861590284961,0.945463140926282,0.81621182849194,6,9.375,2.75116279069767,300,512,512,18,15.3859322459276,1.17,22,17.0789473684211,1.28813559322034,0.150146786970659,0.189225589225589,0,0,"Least disturbed",11.9877761175873,"OREGONDEQ","10588-ORDEQ","MWCF","1",163.3728,2362,164,"w","Alsea","Middle Drift Creek","wadeable","Final","NO","Yes","No",7,"Yes","Yes","     "
"10588-ORDEQ:20080715:R:QCFR_2","10588-ORDEQ","Deer Creek at mouth","Water Quality Response Monitoring","2008-07-15","Benthic Kick - Targeted Riffle","Quality Control Sample-Field Replicate",44.53298927,-123.8806873,55,4,15,5,10,14,2,9,1,6.26185958254269,17.2675521821632,15.3700189753321,28.4629981024668,20.8728652751423,29,64.7058823529412,11,12,27,24.8576850094877,26.9449715370019,44.2125237191651,3,14,1,3,1,NA,14,8,7,NA,4,1.89753320683112,26.5654648956357,0.379506641366224,1.32827324478178,2.27703984819734,0,18.9753320683112,21.6318785578748,23.5294117647059,0,3.41555977229602,44.4022770398482,31.8785578747628,12.3339658444023,3.26586436284183,0.94343195785456,0.814972005541478,5,11.0056925996205,2.784140969163,300,527,527,17,15.3859322459276,1.1,20,17.0789473684211,1.17103235747304,0.179266065486052,0.209368346344925,0,0,"Least disturbed",6.24043866830694,"OREGONDEQ","10588-ORDEQ","MWCF","1",163.3728,2362,164,"w","Alsea","Middle Drift Creek","wadeable","Final","NO","Yes","No",7,"Yes","Yes","     "
"10588-ORDEQ:20080715:R:QCLR","10588-ORDEQ","Deer Creek at mouth","Water Quality Response Monitoring","2008-07-15","Benthic Kick - Targeted Riffle","Quality Control Sample-Lab Duplicate",44.53298927,-123.8806873,57,7,17,9,9,9,2,9,1,8.8724584103512,26.6173752310536,14.2329020332717,30.1293900184843,9.9815157116451,27,54.3438077634011,11,13,29,27.5415896487985,26.4325323475046,43.0683918669131,2,17,NA,3,1,NA,14,9,8,NA,3,1.84842883548983,31.4232902033272,0,2.40295748613678,1.29390018484288,0,20.5175600739372,13.6783733826248,26.9870609981516,0,1.84842883548983,41.9593345656192,29.3900184842884,13.8632162661738,3.35696969433645,0.946423268407721,0.830305992170718,4,7.94824399260628,2.6752688172043,300,541,541,16,15.3859322459276,1.04,21,17.0789473684211,1.22958397534669,0.18410151193468,0.20387007601935,0,0,"Least disturbed",12.5230192179734,"OREGONDEQ","10588-ORDEQ","MWCF","1",163.3728,2362,164,"w","Alsea","Middle Drift Creek","wadeable","Final","NO","Yes","No",7,"Yes","Yes","     "
"10588-ORDEQ:20080715:R:SR","10588-ORDEQ","Deer Creek at mouth","Water Quality Response Monitoring","2008-07-15","Benthic Kick - Targeted Riffle","Sample-Routine",44.53298927,-123.8806873,64,7,19,8,11,13,1,10,1,9.38086303939962,21.0131332082552,14.8217636022514,26.078799249531,16.1350844277674,32,57.0356472795497,11,16,30,25.703564727955,31.7073170731707,39.0243902439024,3,14,NA,5,1,NA,19,10,6,NA,6,1.31332082551595,22.3264540337711,0,3.56472795497186,1.12570356472795,0,21.9512195121951,24.015009380863,22.5140712945591,0,3.18949343339587,40.5253283302064,25.891181988743,9.19324577861163,3.39184258814518,0.949850127250448,0.815565746898839,4,11.8198874296435,2.97674418604651,300,533,533,18,15.3859322459276,1.17,20,17.0789473684211,1.17103235747304,0.168297757266716,0.217885024840312,0,0,"Least disturbed",7.36344278426624,"OREGONDEQ","10588-ORDEQ","MWCF","1",163.3728,2362,164,"w","Alsea","Middle Drift Creek","wadeable","Final","NO","Yes","No",7,"Yes","Yes","     "
"10741-ORDEQ:20020912:R:SR","10741-ORDEQ","Honey Creek at Plush","Statewide Biomonitoring","2002-09-12","Benthic Kick - Targeted Riffle","Sample-Routine",42.41902971,-119.9051597,32,4,5,7,3,8,3,4,2,16.3299663299663,8.24915824915825,12.2895622895623,0.673400673400673,54.2087542087542,18,67.1717171717172,8,6,17,12.4579124579125,14.4781144781145,72.8956228956229,2,13,NA,3,1,NA,5,8,NA,NA,NA,39.5622895622896,34.1750841750842,0,1.34680134680135,1.51515151515152,0,1.01010101010101,22.3905723905724,0,0,0,65.8249158249158,51.3468013468013,27.7777777777778,2.41915627806379,0.856945454545455,0.698020953099607,4,4.54545454545455,4.02958579881657,300,594,594,NA,NA,NA,5,7.56,0.66,NA,NA,NA,NA,"Moderately disturbed",10.737812677017,"OREGONDEQ","10741-ORDEQ","COLD DESERTS","80",1372.8192,279,167,"e","Warner Lakes","Lower Honey Creek","wadeable","Final","NO","Yes",NA,9,"Yes",NA,"  NA   "
"10743-ORDEQ:19920522:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1992-05-22","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,19,3,4,4,1,4,1,2,2,26.027397260274,6.16438356164384,15.7534246575342,0.684931506849315,49.3150684931507,9,65.7534246575342,3,4,12,15.7534246575342,24.6575342465753,59.5890410958904,2,7,NA,1,NA,NA,3,6,NA,NA,NA,39.7260273972603,36.3013698630137,0,0.684931506849315,0,0,2.05479452054794,21.2328767123288,0,0,0,75.3424657534247,57.5342465753425,24.6575342465753,2.16766231409257,0.84509556815795,0.736188567475841,2,1.36986301369863,4.2015503875969,138,146,146,NA,NA,NA,5,7.56,0.66,NA,NA,NA,NA,"Moderately disturbed",16.5449107572543,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Rejected","YES","No",NA,5,"No","No","lowcount methods NA   index"
"10743-ORDEQ:19940527:R:SR","10743-ORDEQ","Chewaucan River at Paisley","Statewide Biomonitoring","1994-05-27","Benthic Kick - Targeted Riffle","Sample-Routine",42.69611896,-120.5450365,26,3,7,7,2,6,2,3,2,5.37634408602151,55.5555555555556,14.6953405017921,0.716845878136201,22.9390681003584,15,38.3512544802867,6,4,15,52.6881720430108,4.3010752688172,42.2939068100358,3,10,NA,4,NA,1,4,3,NA,NA,1,18.6379928315412,67.0250896057348,0,3.584229390681,0,0.3584229390681,1.7921146953405,4.6594982078853,0,3.2258064516129,0.716845878136201,66.3082437275986,50.179211469534,21.1469534050179,2.44684806982099,0.876146856329179,0.751005392647718,1,0.716845878136201,4.15172413793103,263,279,279,NA,NA,NA,8,7.56,1.06,NA,NA,NA,NA,"Least disturbed",4.00036945979882,"OREGONDEQ","10743-ORDEQ","COLD DESERTS","80",1327.7088,330,160,"e","Lake Abert","Upper Chewaucan Marsh","wadeable","Rejected","NO","No",NA,5,"No","No"," methods NA   index"
