"","act_id"
"1","119633"
"2","119663"
"3","123287"
"4","123315"
"5","123444"
"6","125362"
"7","126606"
"8","127205"
"9","130065"
"10","130067"
"11","130119"
"12","130124"
"13","131083"
"14","134605"
"15","134734"
"16","140016"
"17","143095"
"18","148021"
"19","150509"
"20","151144"
"21","151682"
"22","152645"
"23","153620"
"24","153706"
"25","155884"
"26","210808"
"27","103CDCHHR:20100914:T:SR"
"28","103KLCMSR:20100914:T:SR"
"29","103PS0281:20150722:T:SR"
"30","103STCNSR:20110809:T:SR"
"31","103WER026:20030729:R:SR"
"32","103WER029:20030730:R:SR"
"33","103WER030:20110810:T:SR"
"34","105BVCAGC:20100921:T:SR"
"35","105FC1297:20140722:T:SR"
"36","105FS0416:20130924:T:SR"
"37","105FS0425:20110810:T:SR"
"38","105FS0428:20110803:T:SR"
"39","105PS0083:20090908:T:SR"
"40","105PS0275:20150819:T:SR"
"41","105TMCACC:20100810:T:SR"
"42","105WLCABC:20110803:T:SR"
"43","107GWCAPC:20100915:T:SR"
"44","107WER092:20030812:R:SR"
"45","11850-ORDEQ:19990729:R:SR"
"46","12092-ORDEQ:20070814:R:SR"
"47","12181-ORDEQ:20000927:R:SR"
"48","12521-ORDEQ:20070828:R:SR"
"49","12871-ORDEQ:20000811:R:SR"
"50","12886-ORDEQ:19970812:R:SR"
"51","12889-ORDEQ:20160627:R:SR"
"52","13200-ORDEQ:19980713:R:SR"
"53","13215-ORDEQ:19980715:R:SR"
"54","13224-ORDEQ:19980715:R:SR"
"55","13226-ORDEQ:19980708:R:SR"
"56","13231-ORDEQ:19990805:R:SR"
"57","13244-ORDEQ:19990909:R:SR"
"58","17007-ORDEQ:19980824:R:SR"
"59","17010-ORDEQ:19980825:R:SR"
"60","21821-ORDEQ:19980813:R:SR-3"
"61","21842-ORDEQ:20070806:R:SR"
"62","21855-ORDEQ:19990727:R:SR"
"63","21857-ORDEQ:19980808:R:SR-1"
"64","21864-ORDEQ:19990922:R:SR"
"65","21868-ORDEQ:19990831:R:SR"
"66","21876-ORDEQ:19990928:R:SR"
"67","21878-ORDEQ:19980729:R:SR-3"
"68","21881-ORDEQ:19990713:R:SR"
"69","22946-ORDEQ:20000822:R:SR"
"70","23844-ORDEQ:20000711:R:SR"
"71","23901-ORDEQ:20000907:R:SR"
"72","23903-ORDEQ:20000822:R:SR"
"73","23925-ORDEQ:20000828:R:SR"
"74","23926-ORDEQ:20000823:R:SR"
"75","24043-ORDEQ:20000816:R:SR"
"76","24044-ORDEQ:20000913:R:SR"
"77","24046-ORDEQ:20000803:R:SR"
"78","24056-ORDEQ:20000913:R:SR"
"79","24062-ORDEQ:20000912:R:SR"
"80","24068-ORDEQ:20000808:R:SR"
"81","24412-ORDEQ:20000821:R:SR"
"82","24419-ORDEQ:20000815:R:SR"
"83","24426-ORDEQ:20010719:R:SR"
"84","24453-ORDEQ:20000829:R:SR"
"85","24455-ORDEQ:20000828:R:SR"
"86","25284-ORDEQ:20010807:R:SR"
"87","25374-ORDEQ:20010801:R:SR"
"88","25386-ORDEQ:20010906:R:SR"
"89","25417-ORDEQ:20010801:R:SR"
"90","25425-ORDEQ:20010730:R:SR"
"91","26806-ORDEQ:20020904:R:SR"
"92","26854-ORDEQ:20020813:R:SR"
"93","26886-ORDEQ:20020716:R:SR"
"94","26895-ORDEQ:20020724:R:SR"
"95","26902-ORDEQ:20020716:R:SR"
"96","26906-ORDEQ:20020723:R:SR"
"97","26929-ORDEQ:20020711:R:SR"
"98","26936-ORDEQ:20030730:R:SR"
"99","26950-ORDEQ:20020731:R:SR"
"100","26952-ORDEQ:20020905:R:SR"
"101","26958-ORDEQ:20020910:R:SR"
"102","26966-ORDEQ:20020913:R:SR"
"103","29027-ORDEQ:20020808:R:SR"
"104","29879-ORDEQ:20030826:R:SR"
"105","29900-ORDEQ:20030806:R:SR"
"106","30339-ORDEQ:20030924:R:SR"
"107","30354-ORDEQ:20030827:R:SR"
"108","30379-ORDEQ:20030723:R:SR"
"109","30383-ORDEQ:20030724:R:SR"
"110","30387-ORDEQ:20030722:R:SR"
"111","30389-ORDEQ:20030728:R:SR"
"112","30392-ORDEQ:20030730:R:SR"
"113","30396-ORDEQ:20030827:R:SR"
"114","30421-ORDEQ:20030730:R:SR"
"115","30621-ORDEQ:20030924:R:SR"
"116","30623-ORDEQ:20030819:R:SR"
"117","30628-ORDEQ:20030902:R:SR"
"118","30629-ORDEQ:20030918:R:SR"
"119","31354-ORDEQ:20040707:R:SR"
"120","31387-ORDEQ:20040708:R:SR"
"121","31467-ORDEQ:20070918:R:SR"
"122","31477-ORDEQ:20040715:R:SR"
"123","31480-ORDEQ:20040804:R:SR"
"124","31485-ORDEQ:20040802:R:SR"
"125","31730-ORDEQ:20040901:R:SR"
"126","31803-ORDEQ:20040929:R:SR"
"127","32149-ORDEQ:20050803:R:SR"
"128","32481-ORDEQ:20050713:R:SR"
"129","32485-ORDEQ:20050713:R:SR"
"130","32486-ORDEQ:20050713:R:SR"
"131","32487-ORDEQ:20050713:R:SR"
"132","32488-ORDEQ:20050728:R:SR"
"133","32490-ORDEQ:20050729:R:SR"
"134","32556-ORDEQ:20050803:R:SR"
"135","32576-ORDEQ:20050907:R:SR"
"136","32577-ORDEQ:20050907:R:SR"
"137","32585-ORDEQ:20050915:R:SR"
"138","33336-ORDEQ:20060818:R:SR"
"139","33342-ORDEQ:20060906:R:SR"
"140","33419-ORDEQ:20060919:R:SR"
"141","34468-ORDEQ:20070924:R:SR"
"142","34470-ORDEQ:20070731:R:SR"
"143","34471-ORDEQ:20070905:R:SR"
"144","34477-ORDEQ:20070821:R:SR"
"145","34614-ORDEQ:20070827:R:SR"
"146","34636-ORDEQ:20070816:R:SR"
"147","34643-ORDEQ:20070918:R:SR"
"148","34661-ORDEQ:20070912:R:SR"
"149","35619-ORDEQ:20000703:R:SR"
"150","35622-ORDEQ:20000706:R:SR"
"151","35624-ORDEQ:20000723:R:SR"
"152","35626-ORDEQ:20000728:R:SR"
"153","35627-ORDEQ:20000729:R:SR"
"154","35629-ORDEQ:20000802:R:SR"
"155","35634-ORDEQ:20000813:R:SR"
"156","35694-ORDEQ:20150818:R:SR"
"157","35696-ORDEQ:19980727:R:SR-1"
"158","35702-ORDEQ:19980729:R:SR-3"
"159","35704-ORDEQ:19980728:R:SR-1"
"160","35708-ORDEQ:19980807:R:SR-2"
"161","35709-ORDEQ:19980807:R:SR-3"
"162","35711-ORDEQ:19980808:R:SR-2"
"163","35713-ORDEQ:19980809:R:SR"
"164","35714-ORDEQ:19980811:R:SR-1"
"165","35715-ORDEQ:19980728:R:SR-1"
"166","35716-ORDEQ:19980811:R:SR-1"
"167","35717-ORDEQ:19980811:R:SR-1"
"168","35721-ORDEQ:19980729:R:SR-3"
"169","35722-ORDEQ:19980729:R:SR-3"
"170","35733-ORDEQ:19980809:R:SR-1"
"171","35734-ORDEQ:19980808:R:SR-2"
"172","35748-ORDEQ:19990704:R:SR"
"173","35749-ORDEQ:19990703:R:SR"
"174","35758-ORDEQ:19990808:R:SR"
"175","35763-ORDEQ:19990805:R:SR"
"176","35767-ORDEQ:19990817:R:SR"
"177","35769-ORDEQ:19990816:R:SR"
"178","35770-ORDEQ:19990819:R:SR"
"179","35772-ORDEQ:19990817:R:SR"
"180","35773-ORDEQ:19990818:R:SR"
"181","35792-ORDEQ:19990811:R:SR"
"182","35794-ORDEQ:20150819:R:SR"
"183","35830-ORDEQ:20000720:R:SR"
"184","35847-ORDEQ:20020613:R:SR"
"185","35853-ORDEQ:20010613:R:SR"
"186","35883-ORDEQ:20020816:R:SR"
"187","35939-ORDEQ:20090812:T:SR"
"188","35940-ORDEQ:20090813:T:SR"
"189","35952-ORDEQ:20090818:R:SR"
"190","35953-ORDEQ:20090818:R:SR"
"191","37278-ORDEQ:20140915:R:SR"
"192","38114-ORDEQ:20150630:R:SR"
"193","38116-ORDEQ:20150706:R:SR"
"194","38117-ORDEQ:20150820:R:SR"
"195","38119-ORDEQ:20150819:R:SR"
"196","38120-ORDEQ:20150707:R:SR"
"197","38128-ORDEQ:20150929:R:SR"
"198","38130-ORDEQ:20151005:R:SR"
"199","38131-ORDEQ:20151006:R:SR"
"200","38503-ORDEQ:20150729:R:SR"
"201","38552-ORDEQ:20160802:R:SR"
"202","38558-ORDEQ:20160720:R:SR"
"203","38583-ORDEQ:20160818:R:SR"
"204","38606-ORDEQ:20160927:R:SR"
"205","505BMCMCR:20100804:T:QCFR"
"206","505PS0110:20100803:T:SR"
"207","526CE0061:20040803:R:SR"
"208","526PNCAMF:20130625:T:SR"
"209","526PS0076:20080826:T:SR"
"210","526PS1612:20150804:T:SR"
"211","dfw_2150:20090922:R:SR"
"212","dfw_8008:20090818:R:SR"
"213","PIBO:0904:20000820:R:SR"
"214","PIBO_1432:20100804:R:SR"
"215","149814"
"216","149822"
"217","23856-ORDEQ:20000712:R:SR"
"218","30625-ORDEQ:20030818:R:SR"
"219","30727-ORDEQ:20030820:R:SR"
"220","32489-ORDEQ:20050728:R:SR"
"221","35791-ORDEQ:19990809:R:SR"
