MLocID,StationDes,Lat_DD,Long_DD,Eco3,COMID,rdden_km_km2,xings_km2,P_AgLand,P_Urban21Land,mines,grvl_mn_km2,P_canal,rd_Status,xing_Status,Ag_Status,Urb21L_Status,mines_status,gmines_status,canal_status,GIS.status_2020,WorE,Disturb.score,BPJ_final,Ref2020_FINAL,owner
10332-ORDEQ,Willamette River at SP&S RR Bridge (Portland),45.5776955,-122.7476333,WV,23815038,2.618139265,0.471266856,21.65402289,2.459554597,563,0.007613302,1.317936109,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10339-ORDEQ,Willamette River at Canby Ferry,45.29975496,-122.6921546,WV,23791411,2.487075193,0.454211786,22.74488639,2.111034719,459,0.007451524,1.416416882,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10344-ORDEQ,Willamette River at Wheatland Ferry,45.0902697,-123.0454481,WV,23791313,2.409858599,0.431544431,18.09284255,1.866951173,331,0.007458281,1.662502662,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10350-ORDEQ,Willamette River at Albany (eastbound Hwy 20 bridge),44.63926139,-123.1051462,WV,23762845,2.346173837,0.40253723,15.64705293,1.640274445,172,0.005981829,1.044672826,0,0,0,0,2,2,0,Trash,W,NA,NA,Trash,DEQ
10352-ORDEQ,Willamette River at Old Hwy 34 Bridge (Corvallis),44.56518006,-123.2565891,WV,23762877,2.325222628,0.394976354,12.43049629,1.577021826,135,0.0050829,0.895572764,0,0,0,1,2,2,0,Trash,W,NA,NA,Trash,DEQ
10355-ORDEQ,Willamette River at Hwy 99E (Harrisburg),44.2673838,-123.1745177,WV,23763337,2.182895648,0.353715771,4.087723907,1.031463743,77,0.003626692,0.643635917,0,0,0,1,2,0,0,Trash,W,NA,NA,Trash,DEQ
10359-ORDEQ,Willamette River at Hwy 126 (Springfield),44.04550141,-123.0280268,WV,23763441,2.37669974,0.403179532,4.216967665,1.016303038,49,0.002659997,0.236587461,0,0,0,1,2,0,0,Trash,W,NA,NA,Trash,DEQ
10363-ORDEQ,Yamhill River at Dayton,45.22310199,-123.0721362,WV,23796487,3.023286084,0.565518458,34.94970966,3.864253365,30,0.003699653,0.26357861,0,0,2,0,2,0,0,Trash,W,NA,NA,Trash,DEQ
10366-ORDEQ,South Santiam River Hwy 226 (Crabtree),44.630512,-122.9242867,WV,23785657,2.702528143,0.393923774,6.502193106,1.165604656,38,0.003777351,0.689935958,0,0,0,1,2,0,0,Trash,W,NA,NA,Trash,DEQ
10373-ORDEQ,Mary's River at 99W (Corvallis),44.55671743,-123.2642568,WV,23762881,3.248441803,0.703074169,24.76579749,4.998015472,10,0.00382799,0.448961996,0,0,0,0,0,0,0,NO,W,NA,NA,NO,DEQ
10376-ORDEQ,McKenzie River at Coburg Road,44.11219557,-123.0470094,WV,23772727,1.728089815,0.257579907,2.227742071,0.805756677,12,0.001177508,1.161782422,0,0,0,1,0,0,0,NO,W,NA,NA,NO,DEQ
10386-ORDEQ,Middle Fork Willamette River at Jasper Bridge,43.99841534,-122.9059819,WV,23751778,1.908290327,0.315235898,1.369782161,0.618771001,13,0.00143289,0,0,0,0,1,0,0,1,NO,W,NA,NA,NO,DEQ
