sampleId,siteName,daynum,lat,long,elev_sqrt,precip,temp,east,Eco2,Eco3
108293,PNW-023,209,42.6375,-122.316,35.4,1194,128,0,WC,Ca
108295,PNW-025,210,43.1132,-122.518,28.6,1295,140,0,WC,Ca
108303,PNW-033,229,43.8753,-122.072,30.1,1702,127,0,WC,Ca
108304,PNW-034,220,44.153,-122.171,23.7,1600,158,0,WC,Ca
108323,PNW-107,220,44.1617,-122.168,20.9,1448,158,0,WC,Ca
108366,PNW-240,223,44.7074,-121.921,31.8,2007,132,0,WC,Ca
108369,PNW-243,224,44.9504,-122.169,26.1,2210,120,0,WC,Ca
109370,PNW-104,207,42.0472,-123.27,31.4,1397,131,0,WC,KlMts
109845,PNW-004,187,43.8856,-123.935,9,2057,165,0,MWCF,CoRa
109907,PNW-233,219,43.9788,-122.555,19.2,1600,160,0,WC,Ca
109909,PNW-235,220,44.1079,-122.018,26.6,1905,139,0,WC,Ca
109910,PNW-236,220,44.0588,-122.01,28.8,1905,131,0,WC,Ca
109913,PNW-239,223,44.4951,-121.923,36.8,2057,116,0,WC,Ca
109915,PNW-241,223,44.7392,-121.886,30.4,2007,132,0,WC,Ca
111019,PNW-418,184,42.0424,-123.982,20.3,2565,164,0,WC,KlMts
111021,PNW-417,185,42.053,-123.971,20.2,2718,167,0,WC,KlMts
111022,PNW-422,186,42.5854,-123.904,32.9,4191,160,0,WC,KlMts
111040,PNW-455,200,42.945,-122.655,27.8,1194,130,0,WC,Ca
111044,PNW-751,202,43.2135,-122.128,39.8,1295,117,0,WC,Ca
111113,PNW-479,220,44.0492,-122.207,27.9,1803,148,0,WC,Ca
111116,PNW-822,221,43.0092,-122.518,30.7,1194,126,0,WC,Ca
111121,PNW-824,223,43.3131,-122.087,36.3,1397,122,0,WC,Ca
111137,PNW-495,228,44.4075,-122.284,21.4,2007,138,0,WC,Ca
111138,PNW-494,228,44.3988,-122.346,19.6,2007,151,0,WC,Ca
111140,PNW-493,229,44.8556,-122.167,28.5,2667,124,0,WC,Ca
111145,PNW-502,230,45.481,-122.025,21.7,2261,145,0,WC,Ca
111148,PNW-496,231,45.1614,-122.112,18.7,1803,147,0,WC,Ca
