sampleId,otuName2005,splitCount
108293,Orthocladiinae,17
108293,Prosimulium,6
108293,Dicranota,3
108293,Hexatoma,1
108293,Baetis,46
108293,Drunella_doddsi,4
108293,Cinygmula,67
108293,Epeorus,70
108293,Rhithrogena,9
108293,Leptophlebiidae,1
108293,Ameletus,8
108293,Sweltsa,2
108293,Visoka,19
108293,Zapada,10
108293,Doroneuria,1
108293,Megarcys,7
108293,Parapsyche,3
108293,Neophylax,2
108293,Dolophilodes,1
108293,Rhyacophila,8
108293,Nematoda,1
108293,Rhabdomastix,1
108293,Drunella_coloradensis/flavilinea,10
108293,Moselia,1
108293,Hirudinea,2
108295,Trombidiformes,1
108295,Dytiscidae,1
108295,Heterlimnius,1
108295,Blephariceridae,1
108295,Orthocladiinae,18
108295,Oreogeton,2
108295,Simulium,1
108295,Baetis,92
108295,Drunella_doddsi,13
108295,Epeorus,44
108295,Rhithrogena,8
108295,Sweltsa,5
108295,Doroneuria,1
108295,Pteronarcys,3
108295,Micrasema,35
108295,Glossosoma,4
108295,Hydropsyche,9
108295,Dolophilodes,4
108295,Polycentropodidae,1
108295,Rhyacophila,15
108295,Calineuria,6
108295,Ampumixis,5
108295,Drunella_coloradensis/flavilinea,2
108295,Corydalidae,3
108303,Trombidiformes,7
108303,Heterlimnius,4
108303,Chironominae,5
108303,Orthocladiinae,36
108303,Chelifera/,1
108303,Glutops,1
108303,Prosimulium,3
108303,Simulium,2
108303,Baetis,27
108303,Drunella_doddsi,5
108303,Leptophlebiidae,12
108303,Capniidae,1
108303,Sweltsa,1
108303,Zapada,4
108303,Yoraperla,154
108303,Pteronarcys,1
108303,Brachycentrus,1
108303,Micrasema,26
108303,Pisidiidae,2
108303,Drunella_spinifera,5
108303,Hesperoperla,1
108303,Hirudinea,1
108304,Trombidiformes,1
108304,Chironominae,23
108304,Orthocladiinae,70
108304,Tanypodinae,1
108304,Maruina,1
108304,Baetis,33
108304,Drunella_doddsi,57
108304,Cinygmula,7
108304,Epeorus,3
108304,Ironodes,1
108304,Rhithrogena,20
108304,Leptophlebiidae,1
108304,Kathroperla,1
108304,Zapada,5
108304,Yoraperla,2
108304,Doroneuria,3
108304,Megarcys,1
108304,Pteronarcys,1
108304,Micrasema,1
108304,Glossosoma,8
108304,Arctopsyche,2
108304,Parapsyche,1
108304,Neophylax,3
108304,Rhyacophila,9
108304,Calineuria,1
108304,Ampumixis,3
108323,Trombidiformes,2
108323,Optioservus,1
108323,Chironominae,22
108323,Orthocladiinae,21
108323,Simulium,27
108323,Antocha,16
108323,Dicranota,1
108323,Baetis,37
108323,Drunella_doddsi,8
108323,Serratella,3
108323,Cinygmula,3
108323,Epeorus,1
108323,Rhithrogena,2
108323,Leptophlebiidae,4
108323,Visoka,2
108323,Zapada,11
108323,Megarcys,1
108323,Glossosoma,61
108323,Arctopsyche,8
108323,Rhyacophila,6
108323,Calineuria,2
108323,Ampumixis,2
108323,Drunella_coloradensis/flavilinea,1
108366,Trombidiformes,1
108366,Chironominae,3
108366,Orthocladiinae,10
108366,Chelifera/,2
108366,Clinocera,1
108366,Prosimulium,1
108366,Simulium,2
108366,Baetis,50
108366,Cinygmula,14
108366,Epeorus,40
108366,Ironodes,7
108366,Rhithrogena,60
108366,Leptophlebiidae,7
108366,Ameletus,1
108366,Kathroperla,1
108366,Sweltsa,5
108366,Visoka,12
108366,Zapada,17
108366,Doroneuria,2
108366,Isoperla,4
108366,Megarcys,2
108366,Pteronarcys,1
108366,Micrasema,4
108366,Dolophilodes,3
108366,Rhyacophila,11
108366,Drunella_spinifera,1
108366,Calineuria,2
108366,Ceratopogoninae,1
108366,Hirudinea,3
108369,Trombidiformes,3
108369,Heterlimnius,2
108369,Optioservus,1
108369,Zaitzevia,2
108369,Hydrophilidae,1
108369,Chironominae,8
108369,Orthocladiinae,9
108369,Tanypodinae,1
108369,Maruina,7
108369,Simulium,19
108369,Antocha,1
108369,Hexatoma,1
108369,Baetis,98
108369,Epeorus,65
108369,Rhithrogena,4
108369,Zapada,1
108369,Megarcys,1
108369,Micrasema,5
108369,Agapetus,1
108369,Glossosoma,25
108369,Arctopsyche,7
108369,Rhyacophila,8
108369,Calineuria,1
108369,Amiocentrus,1
109370,Heterlimnius,1
109370,Hydrophilidae,1
109370,Orthocladiinae,42
109370,Clinocera,1
109370,Baetis,109
109370,Drunella_doddsi,4
109370,Cinygmula,8
109370,Epeorus,49
109370,Rhithrogena,26
109370,Ameletus,2
109370,Sweltsa,2
109370,Malenka,10
109370,Zapada,16
109370,Yoraperla,1
109370,Pteronarcys,1
109370,Parapsyche,1
109370,Lepidostoma,4
109370,Ecclisomyia,3
109370,Rhyacophila,17
109370,Hirudinea,2
109845,Trombidiformes,8
109845,Heterlimnius,22
109845,Optioservus,15
109845,Zaitzevia,2
109845,Chironominae,39
109845,Orthocladiinae,111
109845,Chelifera/,1
109845,Simulium,5
109845,Dicranota,1
109845,Hexatoma,6
109845,Baetis,43
109845,Leptophlebiidae,6
109845,Gomphidae,1
109845,Neaviperla,2
109845,Sweltsa,1
109845,Malenka,3
109845,Glossosoma,1
109845,Rhyacophila,2
109845,Juga,1
109845,Calineuria,20
109845,Hesperoperla,7
109845,Ceratopogoninae,2
109845,Timpanoga_hecuba,1
109907,Trombidiformes,6
109907,Heterlimnius,20
109907,Lara,1
109907,Narpus,1
109907,Zaitzevia,3
109907,Chironominae,14
109907,Orthocladiinae,29
109907,Dixa,2
109907,Simulium,1
109907,Dicranota,3
109907,Baetis,40
109907,Cinygmula,16
109907,Epeorus,1
109907,Ironodes,3
109907,Nixe/Leucocruta,1
109907,Rhithrogena,7
109907,Leptophlebiidae,2
109907,Malenka,3
109907,Zapada,40
109907,Soliperla,2
109907,Micrasema,1
109907,Glossosoma,45
109907,Hydropsyche,6
109907,Lepidostoma,1
109907,Wormaldia,13
109907,Rhyacophila,7
109907,Juga,6
109907,Calineuria,2
109907,Hesperoperla,20
109907,Ampumixis,3
109907,Amiocentrus,1
109909,Oligochaeta,1
109909,Trombidiformes,7
109909,Heterlimnius,9
109909,Chironominae,6
109909,Diamesinae,1
109909,Orthocladiinae,1
109909,Tanypodinae,1
109909,Dixa,1
109909,Prosimulium,1
109909,Simulium,5
109909,Dicranota,1
109909,Baetis,24
109909,Caudatella,4
109909,Drunella_doddsi,8
109909,Cinygmula,9
109909,Epeorus,1
109909,Ironodes,7
109909,Leptophlebiidae,7
109909,Ameletus,1
109909,Kathroperla,1
109909,Visoka,4
109909,Zapada,17
109909,Yoraperla,66
109909,Doroneuria,1
109909,Isoperla,5
109909,Pteronarcys,12
109909,Micrasema,24
109909,Lepidostoma,1
109909,Neophylax,3
109909,Rhyacophila,14
109909,Hydrobiidae,30
109909,Drunella_spinifera,27
109910,Oligochaeta,2
109910,Trombidiformes,13
109910,Heterlimnius,3
109910,Chironominae,32
109910,Orthocladiinae,32
109910,Tanypodinae,1
109910,Oreogeton,1
109910,Simulium,8
109910,Antocha,2
109910,Dicranota,1
109910,Baetis,45
109910,Caudatella,4
109910,Drunella_doddsi,2
109910,Serratella,2
109910,Cinygmula,15
109910,Epeorus,2
109910,Ironodes,7
109910,Rhithrogena,8
109910,Leptophlebiidae,1
109910,Malenka,1
109910,Visoka,3
109910,Zapada,18
109910,Yoraperla,9
109910,Doroneuria,2
109910,Isoperla,1
109910,Pteronarcys,3
109910,Micrasema,36
109910,Arctopsyche,4
109910,Lepidostoma,1
109910,Neophylax,5
109910,Polycentropodidae,1
