,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale
1,103CDCHHR:20100914:T:SR,0.809462497,0.031661045,0.001002422,1.108852735,0.043371295
2,103KLCMSR:20100914:T:SR,0.845769963,0.029057657,0.000844347,1.15858899,0.03980501
3,103PS0281:20150722:T:SR,0.629582893,0.039995213,0.001599617,0.862442319,0.054787963
4,103STCNSR:20110809:T:SR,0.671127352,0.011260119,0.00012679,0.919352537,0.015424821
5,103WER026:20030729:R:SR,0.729491497,0.034502726,0.001190438,0.999303421,0.047264009
6,103WER029:20030730:R:SR,0.781907288,0.026905073,0.000723883,1.071105874,0.036856265
7,103WER030:20110810:T:SR,0.708863168,0.017504147,0.000306395,0.971045436,0.023978283
8,105BVCAGC:20100921:T:SR,0.755343253,0.03426676,0.001174211,1.034716785,0.046940768
9,105FC1297:20140722:T:SR,0.70809449,0.027302314,0.000745416,0.969992453,0.037400431
10,105FS0416:20130924:T:SR,0.686359668,0.040693133,0.001655931,0.940218723,0.055744017
11,105FS0425:20110810:T:SR,0.672771577,0.026077858,0.000680055,0.9216049,0.035723093
12,105FS0428:20110803:T:SR,0.675222026,0.040724832,0.001658512,0.924961679,0.055787441
13,105PS0083:20090908:T:SR,0.726080263,0.021439783,0.000459664,0.994630498,0.029369566
14,105PS0275:20150819:T:SR,0.570173691,0.032342741,0.001046053,0.781059851,0.044305125
15,105TMCACC:20100810:T:SR,0.744668358,0.032148522,0.001033527,1.020093641,0.044039072
16,105WLCABC:20110803:T:SR,0.726110378,0.0271941,0.000739519,0.994671751,0.037252192
17,107GWCAPC:20100915:T:SR,0.765340684,0.035705845,0.001274907,1.048411896,0.048912117
18,107WER092:20030812:R:SR,0.756925855,0.024448373,0.000597723,1.036884734,0.033490922
19,11850-ORDEQ:19990729:R:SR,0.692334428,0.015508655,0.000240518,0.948403326,0.021244732
20,119633,0.665032016,0.031731141,0.001006865,0.911002761,0.043467317
21,119663,0.643626405,0.032902205,0.001082555,0.881680007,0.045071513
22,12092-ORDEQ:20070814:R:SR,0.822005607,0,0,1.126035078,0
23,12181-ORDEQ:20000927:R:SR,0.790550224,0.024286568,0.000589837,1.082945512,0.033269272
24,123287,0.662908952,0.028865024,0.00083319,0.908094455,0.039541128
25,123315,0.793589082,0.039272471,0.001542327,1.087108332,0.053797906
26,123444,0.808090052,0.024402998,0.000595506,1.106972674,0.033428765
27,12521-ORDEQ:20070828:R:SR,0.719251224,0.033263262,0.001106445,0.98527565,0.045566112
28,125362,0.782962903,0.026006754,0.000676351,1.072551922,0.03562569
29,126606,0.633474236,0.034044664,0.001159039,0.867772926,0.046636526
30,127205,0.768996203,0.01942151,0.000377195,1.053419457,0.026604809
31,12871-ORDEQ:20000811:R:SR,0.725330614,0.035435679,0.001255687,0.993603581,0.048542026
32,12889-ORDEQ:20160627:R:SR,0.75391305,0.026219072,0.00068744,1.032757603,0.035916537
33,130065,0.807052677,0.016785073,0.000281739,1.105551613,0.02299325
34,130067,0.803282197,0.035177483,0.001237455,1.100386571,0.048188333
35,130119,0.766371601,0.019715825,0.000388714,1.049824111,0.02700798
36,130124,0.821591194,0.025731956,0.000662134,1.12546739,0.035249255
37,131083,0.812707165,0.025564064,0.000653521,1.113297487,0.035019265
38,13200-ORDEQ:19980713:R:SR,0.71659233,0.03569942,0.001274449,0.981633328,0.048903315
39,13215-ORDEQ:19980715:R:SR,0.761860286,0.018208582,0.000331552,1.043644228,0.024943263
40,13224-ORDEQ:19980715:R:SR,0.773832733,0.010636824,0.000113142,1.060044839,0.014570992
41,13226-ORDEQ:19980708:R:SR,0.749396249,0.009390457,8.82E-05,1.026570205,0.01286364
42,13231-ORDEQ:19990805:R:SR,0.730007292,0.020958497,0.000439259,1.000009989,0.02871027
43,13244-ORDEQ:19990909:R:SR,0.808288733,0.021854582,0.000477623,1.10724484,0.029937783
44,134605,0.634779148,0.029463505,0.000868098,0.869560477,0.040360966
45,134734,0.749222968,0.024987565,0.000624378,1.026332833,0.034229541
46,140016,0.750418457,0.029507238,0.000870677,1.027970489,0.040420874
47,143095,0.733237425,0.032195485,0.001036549,1.004434828,0.044103404
48,148021,0.698679053,0.021235142,0.000450931,0.957094593,0.029089236
