,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale,,,Subsample Count,OE_X,OE_sd,MMI_X,MMI_sd,MMI.rescale_sd,MMI.rescale_X
1,103CDCHHR:20100914:T:SR,0.806961127,0.024893386,0.000619681,1.105426201,0.034100529,,,300,1.03,0.043,0.73,0.024,1,0.033
2,103KLCMSR:20100914:T:SR,0.860416427,0.02696993,0.000727377,1.178652639,0.03694511,,,250,1,0.054,0.72,0.028,0.987,0.038
3,103PS0281:20150722:T:SR,0.639508027,0.027794815,0.000772552,0.876038393,0.038075089,,,200,0.97,0.062,0.707,0.033,0.968,0.045
4,103STCNSR:20110809:T:SR,0.678596521,0,0,0.929584275,0,,,150,0.912,0.074,0.069,0.038,0.943,0.052
5,103WER026:20030729:R:SR,0.743025992,0.02317129,0.000536909,1.017843824,0.031741493,,,,,,,,,
6,103WER029:20030730:R:SR,0.790624676,0.027127341,0.000735893,1.083047501,0.037160741,,,,,,,,,
7,103WER030:20110810:T:SR,0.721010419,0.012938845,0.000167414,0.987685505,0.017724445,,,,,,,,,
8,105BVCAGC:20100921:T:SR,0.784268203,0.023723962,0.000562826,1.074340005,0.032498578,,,,,,,,,
9,105FC1297:20140722:T:SR,0.722448205,0.027979667,0.000782862,0.989655076,0.038328311,,,,,,,,,
10,105FS0416:20130924:T:SR,0.703250224,0.027675127,0.000765913,0.963356471,0.037911133,,,,,,,,,
11,105FS0425:20110810:T:SR,0.675591283,0.021905222,0.000479839,0.92546751,0.030007153,,,,,,,,,
12,105FS0428:20110803:T:SR,0.677692987,0.028179911,0.000794107,0.928346558,0.038602618,,,,,,,,,
13,105PS0083:20090908:T:SR,0.740297094,0.021976141,0.000482951,1.014105608,0.030104303,,,,,,,,,
14,105PS0275:20150819:T:SR,0.569946118,0.034864994,0.001215568,0.780748107,0.047760266,,,,,,,,,
15,105TMCACC:20100810:T:SR,0.755666687,0.027157459,0.000737528,1.035159845,0.037201999,,,,,,,,,
16,105WLCABC:20110803:T:SR,0.738911906,0.033278251,0.001107442,1.01220809,0.045586645,,,,,,,,,
17,107GWCAPC:20100915:T:SR,0.749739252,0.029674613,0.000880583,1.027040071,0.040650155,,,,,,,,,
18,107WER092:20030812:R:SR,0.766611602,0.020053065,0.000402125,1.050152879,0.027469952,,,,,,,,,
19,11850-ORDEQ:19990729:R:SR,0.688311669,0.008418428,7.09E-05,0.942892697,0.011532093,,,,,,,,,
20,119633,0.682484851,0.020764112,0.000431148,0.934910754,0.028443989,,,,,,,,,
21,119663,0.651174032,0.032901947,0.001082538,0.892019222,0.04507116,,,,,,,,,
22,12092-ORDEQ:20070814:R:SR,0.822005607,0,0,1.126035078,0,,,,,,,,,
23,12181-ORDEQ:20000927:R:SR,0.792082122,0.022786083,0.000519206,1.085044002,0.031213812,,,,,,,,,
24,123287,0.667966891,0.022196706,0.000492694,0.915023139,0.030406447,,,,,,,,,
25,123315,0.813685729,0.029661324,0.000879794,1.114637985,0.040631951,,,,,,,,,
26,123444,0.816240137,0.021781686,0.000474442,1.118137174,0.029837926,,,,,,,,,
27,12521-ORDEQ:20070828:R:SR,0.735976947,0.022313085,0.000497874,1.008187598,0.03056587,,,,,,,,,
